0.19	0.54	0.07	0.04	1
0.58	0.33	0.78	0.83	3
0.56	0.21	0.68	0.75	3
0.61	0.42	0.76	0.71	3
0.39	0.21	0.68	0.79	3
0.42	0.29	0.53	0.38	2
0.33	0.25	0.58	0.46	2
0.28	0.71	0.08	0.04	1
0.31	0.58	0.12	0.04	1
0.19	0.5	0.03	0.04	1
0.36	0.42	0.59	0.58	2
0.44	0.42	0.54	0.58	2
0.14	0.58	0.1	0.04	1
0.19	0.58	0.1	0.13	1
0.22	0.75	0.15	0.13	1
0.19	0.67	0.07	0.04	1
0.17	0.17	0.39	0.38	2
0.56	0.29	0.66	0.71	3
0.14	0.42	0.07	0.08	1
0.08	0.67	0	0.04	1
0.69	0.5	0.83	0.92	3
0.58	0.5	0.73	0.92	3
0.81	0.67	0.86	1	3
0.94	0.42	0.86	0.92	3
0.39	0.33	0.59	0.5	2
0.81	0.42	0.81	0.63	3
0.36	0.21	0.49	0.42	2
0.08	0.46	0.08	0.04	1
0.42	0.29	0.69	0.75	3
0.11	0.5	0.05	0.04	1
0.33	0.17	0.46	0.38	2
0.53	0.33	0.64	0.71	3
0.17	0.42	0.07	0.04	1
0.25	0.88	0.08	0	1
0.36	0.29	0.54	0.5	2
0.42	0.83	0.03	0.04	1
0.56	0.54	0.63	0.63	2
0.47	0.08	0.51	0.38	2
0.67	0.21	0.81	0.71	3
0.72	0.46	0.69	0.92	3
0.03	0.42	0.05	0.04	1
0.03	0.38	0.07	0.04	1
0.33	0.92	0.07	0.04	1
0.33	0.21	0.51	0.5	2
0.22	0.58	0.08	0.04	1
0.14	0.46	0.1	0.04	1
0.19	0.63	0.1	0.21	1
0.56	0.13	0.58	0.5	2
0.19	0	0.42	0.38	2
0.72	0.46	0.75	0.83	3
0.33	0.13	0.51	0.5	2
0.81	0.5	0.85	0.71	3
0.58	0.38	0.56	0.5	2
0.61	0.42	0.71	0.79	3
0.5	0.25	0.78	0.54	3
0.19	0.42	0.1	0.04	1
0.58	0.46	0.76	0.71	3
0.58	0.33	0.78	0.88	3
0.31	0.79	0.12	0.13	1
0.39	0.38	0.54	0.5	2
0.64	0.42	0.58	0.54	2
0.58	0.5	0.59	0.58	2
0.42	0.29	0.49	0.46	2
0.56	0.21	0.66	0.58	2
0.22	0.75	0.1	0.04	1
0.47	0.08	0.68	0.58	3
0.56	0.33	0.69	0.58	3
0.5	0.33	0.51	0.5	2
0.64	0.38	0.61	0.5	2
0.56	0.58	0.78	0.96	3
0.03	0.5	0.05	0.04	1
0.39	0.33	0.53	0.5	2
0.5	0.33	0.63	0.46	2
1	0.75	0.92	0.79	3
0.94	0.75	0.97	0.88	3
