0.86	0.33	0.86	0.75	3
0.22	0.21	0.34	0.42	2
0.39	1	0.08	0.13	1
0.56	0.54	0.85	1	3
0.22	0.63	0.07	0.08	1
0.47	0.58	0.59	0.63	2
0.5	0.42	0.66	0.71	3
0.78	0.42	0.83	0.83	3
0.44	0.42	0.69	0.71	3
0.22	0.71	0.08	0.13	1
0.36	0.33	0.66	0.79	3
0.11	0.5	0.1	0.04	1
0	0.42	0.02	0	1
0.67	0.42	0.71	0.92	3
0.33	0.17	0.47	0.42	2
0.42	0.29	0.69	0.75	3
0.25	0.58	0.07	0.04	1
0.67	0.54	0.8	1	3
0.42	0.33	0.69	0.96	3
0.22	0.54	0.12	0.17	1
0.25	0.63	0.08	0.04	1
0.31	0.42	0.59	0.58	2
0.31	0.71	0.08	0.04	1
0.22	0.75	0.08	0.08	1
0.19	0.63	0.05	0.08	1
0.25	0.29	0.49	0.54	2
0.47	0.42	0.64	0.71	3
0.92	0.42	0.95	0.83	3
0.19	0.13	0.39	0.38	2
0.94	0.25	1	0.92	3
0.67	0.46	0.78	0.96	3
0.67	0.54	0.8	0.83	3
0.44	0.5	0.64	0.71	2
0.17	0.46	0.08	0	1
0.14	0.58	0.15	0.04	1
0.39	0.42	0.54	0.46	2
0.67	0.46	0.58	0.54	2
0.36	0.42	0.53	0.5	2
0.72	0.46	0.66	0.58	2
0.61	0.33	0.61	0.58	2
0.69	0.42	0.76	0.83	3
0.06	0.13	0.05	0.08	1
0.61	0.42	0.81	0.88	3
0.72	0.5	0.8	0.92	3
0.69	0.33	0.64	0.54	2
0.67	0.42	0.68	0.67	2
0.39	0.25	0.42	0.38	2
0.17	0.21	0.59	0.67	3
0.42	0.25	0.51	0.46	2
0.53	0.58	0.75	0.92	3
0.47	0.38	0.59	0.58	2
0.17	0.46	0.08	0	1
0.53	0.08	0.59	0.58	2
0.67	0.46	0.63	0.58	2
0.56	0.38	0.78	0.71	3
0.33	0.63	0.05	0.04	1
0.83	0.38	0.9	0.71	3
0.36	0.38	0.44	0.5	2
0.39	0.75	0.12	0.08	1
0.19	0.58	0.08	0.04	1
0.47	0.29	0.69	0.63	2
0.22	0.63	0.07	0.04	1
0.31	0.79	0.05	0.13	1
0.58	0.29	0.73	0.75	3
0.31	0.58	0.08	0.13	1
0.94	0.33	0.97	0.79	3
0.5	0.38	0.63	0.54	2
0.14	0.42	0.07	0	1
0.08	0.58	0.07	0.08	1
0.61	0.5	0.69	0.79	3
0.17	0.46	0.08	0	1
0.5	0.42	0.61	0.54	2
0.75	0.5	0.63	0.54	2
0.53	0.38	0.56	0.5	2
0.08	0.5	0.07	0.04	1
